index,cluster
0_CD8_NAIVE,8
1_CD8_NAIVE,8
2_CD8_NAIVE,8
3_CD8_NAIVE,8
4_CD8_NAIVE,8
5_CD8_NAIVE,8
6_CD8_NAIVE,8
7_CD8_NAIVE,8
8_CD8_NAIVE,8
9_CD8_NAIVE,8
10_CD8_NAIVE,8
11_CD8_NAIVE,8
12_CD8_NAIVE,8
13_CD8_NAIVE,8
14_CD8_NAIVE,8
15_CD8_NAIVE,8
16_CD8_NAIVE,8
17_CD8_NAIVE,8
18_CD8_NAIVE,8
19_CD8_NAIVE,8
20_CD8_NAIVE,8
21_CD8_NAIVE,8
22_CD8_NAIVE,8
23_CD8_NAIVE,8
24_CD8_NAIVE,8
25_CD8_NAIVE,8
26_CD8_NAIVE,8
27_CD8_NAIVE,8
28_CD8_NAIVE,8
29_CD8_NAIVE,8
30_CD8_NAIVE,8
31_CD8_NAIVE,8
32_CD8_NAIVE,8
33_CD8_NAIVE,8
34_CD8_NAIVE,8
35_CD8_NAIVE,8
36_CD8_NAIVE,8
37_CD8_NAIVE,8
38_CD8_NAIVE,8
39_CD8_NAIVE,8
40_CD8_NAIVE,8
41_CD8_NAIVE,8
42_CD8_NAIVE,8
43_CD8_NAIVE,8
44_CD8_NAIVE,8
45_CD8_NAIVE,8
46_CD8_NAIVE,8
47_CD8_NAIVE,8
48_CD8_NAIVE,8
49_CD8_NAIVE,8
50_CD8_NAIVE,8
51_CD8_NAIVE,8
52_CD8_NAIVE,8
53_CD8_NAIVE,8
54_CD8_NAIVE,8
55_CD8_NAIVE,8
56_CD8_NAIVE,8
57_CD8_NAIVE,8
58_CD8_NAIVE,8
59_CD8_NAIVE,8
60_CD8_NAIVE,8
61_CD8_NAIVE,8
62_CD8_NAIVE,8
63_CD8_NAIVE,8
64_CD8_NAIVE,8
65_CD8_NAIVE,8
66_CD8_NAIVE,8
67_CD8_NAIVE,8
68_CD8_NAIVE,8
69_CD8_NAIVE,8
70_CD8_NAIVE,8
71_CD8_NAIVE,8
72_CD8_NAIVE,8
73_CD8_NAIVE,8
74_CD8_NAIVE,8
75_CD8_NAIVE,8
76_CD8_NAIVE,8
77_CD8_NAIVE,8
78_CD8_NAIVE,8
79_CD8_NAIVE,8
80_CD8_NAIVE,8
81_CD8_NAIVE,8
82_CD8_NAIVE,8
83_CD8_NAIVE,8
84_CD8_NAIVE,8
85_CD8_NAIVE,8
86_CD8_NAIVE,8
87_CD8_NAIVE,8
88_CD8_NAIVE,8
89_CD8_NAIVE,8
90_CD8_NAIVE,8
91_CD8_NAIVE,8
92_CD8_NAIVE,8
93_CD8_NAIVE,8
94_CD8_NAIVE,8
95_CD8_NAIVE,8
96_CD8_NAIVE,8
97_CD8_NAIVE,8
98_CD8_NAIVE,8
99_CD8_NAIVE,8
100_CD8_NAIVE,8
